accessibility,Accessibility,,urban,TOPIC
acidification,Acidification,,ocean,TOPIC
activity,Activity,,society,TOPIC
adaptation,Adaptation,,society,TOPIC
adaptive_capacity,Adaptive Capacity,,adaptation,TOPIC
administrative_boundaries,Administrative Boundaries,,general,TOPIC
affiliation,Affiliations,,society,TOPIC
afghanistan,Afghanistan,,asia,GEOGRAPHY
africa,Africa,,continent,GEOGRAPHY
agriculture,Agriculture,,primary_sector,TOPIC
air_quality,Air quality,,air,TOPIC
airplane,Airplane,Plane,public_transportation,TOPIC
airport,Airport,,public_infrastructure,TOPIC
aland,Aland,,finland,GEOGRAPHY
albania,Albania,,europe,GEOGRAPHY
albedo,Albedo,reflectance,climate,TOPIC
algeria,Algeria,,africa,GEOGRAPHY
american_samoa,American Samoa,,oceania,GEOGRAPHY
amphibian,Amphibian,,animal,TOPIC
andorra,Andorra,,europe,GEOGRAPHY
angola,Angola,,africa,GEOGRAPHY
anguilla,Anguilla,,north_america,GEOGRAPHY
animal,Animal,,species,TOPIC
annual,Annual,,frequency,TOPIC
antarctica,Antarctica,,continent,GEOGRAPHY
antigua_and_barbuda,Antigua and Barbuda,,north_america,GEOGRAPHY
aquaculture,Aquaculture,,primary_sector,TOPIC
argentina,Argentina,,south_america,GEOGRAPHY
armenia,Armenia,,asia,GEOGRAPHY
aruba,Aruba,,south_america,GEOGRAPHY
asia,Asia,,continent,GEOGRAPHY
asset,Asset,,society,TOPIC
australia,Australia,,oceania,GEOGRAPHY
austria,Austria,,eu,GEOGRAPHY
autonomous_territory,Autonomous Territory,,territory,GEOGRAPHY
azerbaijan,Azerbaijan,,asia,GEOGRAPHY
bahamas,Bahamas,,north_america,GEOGRAPHY
bahrain,Bahrain,,asia,GEOGRAPHY
bangladesh,Bangladesh,,asia,GEOGRAPHY
barbados,Barbados,,north_america,GEOGRAPHY
baseline,Baseline,,climate_model,TOPIC
beef,Beef,,livestock,TOPIC
belarus,Belarus,,europe,GEOGRAPHY
belgium,Belgium,,eu,GEOGRAPHY
belize,Belize,,north_america,GEOGRAPHY
benin,Benin,,africa,GEOGRAPHY
bermuda,Bermuda,,uk,GEOGRAPHY
bhutan,Bhutan,,asia,GEOGRAPHY
bike,Bike,,transportation,TOPIC
biodiversity,Biodiversity,,general,TOPIC
biological_oxygen_demand,Biological Oxygen Demand,,wastewater,TOPIC
biome,Biome,,biodiversity,TOPIC
bird,Bird,,animal,TOPIC
bleaching,Bleaching,,process,TOPIC
bolivia,Bolivia,,south_america,GEOGRAPHY
boreal,Boreal,,climate_zone,TOPIC
bosnia_and_herzegovina,Bosnia and Herzegovina,,europe,GEOGRAPHY
botswana,Botswana,,africa,GEOGRAPHY
brazil,Brazil,,south_america,GEOGRAPHY
british_indian_ocean_territory,British Indian Ocean Territory,,uk,GEOGRAPHY
british_virgin_islands,British Virgin Islands,,uk,GEOGRAPHY
brunei,Brunei,,asia,GEOGRAPHY
bulgaria,Bulgaria,,eu,GEOGRAPHY
burkina_faso,Burkina Faso,,africa,GEOGRAPHY
burundi,Burundi,,africa,GEOGRAPHY
bus,Bus,,public_transportation,TOPIC
cambodia,Cambodia,,asia,GEOGRAPHY
cameroon,Cameroon,,africa,GEOGRAPHY
canada,Canada,,north_america,GEOGRAPHY
cape_verde,Cape_Verde,,africa,GEOGRAPHY
car,Car,,transportation,TOPIC
cayman_islands,Cayman Islands,,uk,GEOGRAPHY
central_african_republic,Central African Republic,,africa,GEOGRAPHY
cfc,CFC,Chlorofluorocarbon,gas,TOPIC
ch4,CH4,Methane,ghg,TOPIC
chad,Chad,,africa,GEOGRAPHY
chemical_oxygen_demand,Chemical Oxygen Demand,,wastewater,TOPIC
child_mortality,Child mortality,,society,TOPIC
chile,Chile,,south_america,GEOGRAPHY
china,China,,asia,GEOGRAPHY
clean_water,Clean water,,water,TOPIC
climate,Climate,,general,TOPIC
climate_change,Climate change,,climate,TOPIC
climate_hazard,Climate Hazard,,climate,TOPIC
climate_model,Climate Model,,climate,TOPIC
climate_stressor,Climate Stressor,,climate,TOPIC
climate_zone,Climate Zone,,climate,TOPIC
co,CO,Carbon Monoxide,ghg,TOPIC
CO2,CO2,Carbon Dioxide,ghg,TOPIC
coal,Coal,,fuel,TOPIC
coast,Coast,,land,TOPIC
coastal_erosion,Coastal Erosion,,coast,TOPIC
coastal_flooding,Coastal Flooding,,coast,TOPIC
cold_wave,Cold wave,,extreme_event,TOPIC
colombia,Colombia,,south_america,GEOGRAPHY
commerce,Commerce,,general,TOPIC
commodity,Commodity,,commerce,TOPIC
comoros,Comoros,,africa,GEOGRAPHY
conflict,Conflict,,society,TOPIC
congo,Congo,,africa,GEOGRAPHY
conservation,Conservation,,human_activity,TOPIC
continent,Continent,,global,GEOGRAPHY
cook_islands,Cook islands,,oceania,GEOGRAPHY
coral_reef,Coral reef,coral,marine_life,TOPIC
coral_sea_islands_territory,Coral Sea Islands Territory,,australia,GEOGRAPHY
corn,Corn,,crop,TOPIC
corruption,Corruption,,governance,TOPIC
costa_rica,Costa Rica,,north_america,GEOGRAPHY
country,Country,,global,GEOGRAPHY
croatia,Croatia,,eu,GEOGRAPHY
crop,food_and_agriculture,,food_and_agriculture,TOPIC
crop_health,Crop health,,crop,TOPIC
crop_yield,Crop yield,,crop,TOPIC
cropland,Cropland,,crop,TOPIC
crown_dependency,Crown Dependency,,uk,GEOGRAPHY
cuba,Cuba,,north_america,GEOGRAPHY
curacao,Curaçao,,netherlands,GEOGRAPHY
cyanobacteria,Cyanobacteria,,species,TOPIC
cyprus,Cyprus,,eu,GEOGRAPHY
czech_republic,Czech Republic,,eu,GEOGRAPHY
daily,Daily,,frequency,FREQUENCY
dam,Dam,,energy_infrastructure,TOPIC
damage,Damage,destruction,asset,TOPIC
dataset,Dataset,,general,DATA_TYPE
dead_zone,Dead Zone,Anoxic Water,water_quality,TOPIC
deforestation,Deforestation,,forest,TOPIC
degradation,Degradation,,activity,TOPIC
democratic_republic_of_congo,Democratic Republic of the Congo,,africa,GEOGRAPHY
democratic_republic_of_korea,Democratic Republic of Korea,,asia,GEOGRAPHY
demographic,Demographic,,population,TOPIC
denmark,Denmark,,eu,GEOGRAPHY
developed,Developed,,country,TOPIC
developing,Developing,,country,TOPIC
development,Development,,society,TOPIC
disaster,Disaster,,general,TOPIC
discrimination,Discrimination,,society,TOPIC
disease,Disease,,health,TOPIC
displaced_people,Displaced people,,society,TOPIC
djibouti,Djibouti,,africa,GEOGRAPHY
dominica,Dominica,,north_america,GEOGRAPHY
dominican_republic,Dominican Republic,,north_america,GEOGRAPHY
drainage_basin,Drainage basin,,river,TOPIC
drinking_water,Drinking water,,water,TOPIC
drought,Drought,,natural_disaster,TOPIC
early_warning,Early Warning,,response,TOPIC
earthquake,Earthquake,,natural_disaster,TOPIC
ecological_footprint,Ecological footprint,,footprint,TOPIC
economic,Economic,,society,TOPIC
ecoregion,Ecoregion,,ecosystem,TOPIC
ecosystem,Ecosystem,,biodiversity,TOPIC
ecosystem_services,Ecosystem Services,,ecosystem,TOPIC
ecuador,Ecuador,,south_america,GEOGRAPHY
education,Education,,society,TOPIC
egypt,Egypt,,africa,GEOGRAPHY
el_salvador,El Salvador,,north_america,GEOGRAPHY
electricity,Electricity,,energy,TOPIC
emergency,Emergency,,society,TOPIC
emergency_response,Emergency Response,,emergency,TOPIC
emergency_services,Energency Services,,emergency,TOPIC
emissions,Emissions,,pollution,TOPIC
endangered,Endangered,,species,TOPIC
energy,Energy,,general,TOPIC
energy_access,Energy access,,energy,TOPIC
energy_demand,Energy demand,,energy,TOPIC
energy_efficiency,Energy efficiency,,energy,TOPIC
energy_hazard,Energy hazard,,energy,TOPIC
energy_infrastructure,Energy Infrastucture,,energy,TOPIC
energy_production,Energy production,,energy,TOPIC
environment,Environment,,general,TOPIC
environmental_health,Environmental health,,environment,TOPIC
environmental_quality,Environmental quality,,environment,TOPIC
equatorial_guinea,Equtorial Guinea,,africa,GEOGRAPHY
eritrea,Eritrea,,africa,GEOGRAPHY
erosion,Erosion,,process,TOPIC
eruption,Eruption,,natural_disaster,TOPIC
estonia,Estonia,,eu,GEOGRAPHY
ethiopia,Ethiopia,,africa,GEOGRAPHY
eu,EU,European Union,europe,GEOGRAPHY
europe,Europe,,continent,GEOGRAPHY
european_free_trade_association,European Free Trade Association,,europe,GEOGRAPHY
eutrophication,Eutrophication,,process,TOPIC
evaporation,Evaporation,,process,TOPIC
evapotranspiration,Evapotranspiration,,process,TOPIC
event,Event,,general,TOPIC
exploitation,Exploitation,,human_activity,TOPIC
explosion,Explosion,,disaster,TOPIC
exposure,Exposure,,resilience,TOPIC
extinction,Extinction,,species,TOPIC
extreme_event,Extreme event,,hazard,TOPIC
falkland_islands,Falkland Islands,,uk,GEOGRAPHY
famine,Famine,,society,TOPIC
farmland,Farmland,,food_and_agriculture,TOPIC
faroe_islands,Faroe Islands,,denmark,GEOGRAPHY
fauna,Fauna,,animal,TOPIC
fertilizer,Fertilizer,,agriculture,TOPIC
fiji,Fiji,,oceania,GEOGRAPHY
financial_loss,Financial Loss,,economic,TOPIC
finland,Finlad,,eu,GEOGRAPHY
fire,Fire,,disaster,TOPIC
fish,Fish,,animal,TOPIC
fishery,Fishery,,fish,TOPIC
fishing,Fishing,,human_activity,TOPIC
flood,Flood,,disaster,TOPIC
flora,Flora,,biodiversity,TOPIC
food_and_agriculture,Food and Agriculture,,general,TOPIC
food_price,Food price,,food_and_agriculture,TOPIC
food_production,Food production,,food_and_agriculture,TOPIC
food_security,Food security,,food_and_agriculture,TOPIC
food_supply,Food supply,,food_and_agriculture,TOPIC
food_waste,Food waste,,food_and_agriculture,TOPIC
footprint,Footprint,,society,TOPIC
forest,Forest,,biodiversity,TOPIC
forest_cover,Forest cover,,forest,TOPIC
forest_gain,Forest gain,,forest,TOPIC
forest_loss,Forest loss,,forest,TOPIC
fossil_fuel,Fossil fuel,,fuel,TOPIC
fragility,Fragility,,resilience,TOPIC
france,France,,eu,GEOGRAPHY
french_polynesia,French Polynesia,,france,GEOGRAPHY
french_southern_and_antarctic_lands,French Southern and Antarctic lands,,france,GEOGRAPHY
frequency,Frequency,,general,FREQUENCY
fresh_water,Fresh water,,water,TOPIC
frozen_water,Frozen water,,water,TOPIC
fuel,Fuel,,energy,TOPIC
future,Future,,time_period,TIME_PERIOD
gabon,Gabon,,africa,GEOGRAPHY
gambia,Gambia,,africa,GEOGRAPHY
gas,Gas,,climate,TOPIC
gdp,GDP,Gross Domestic Product,economic,TOPIC
gender,Gender,,society,TOPIC
general,General,,,TOPIC
georgia,Georgia,,europe,GEOGRAPHY
geospatial,Geospatial,,dataset,DATA_TYPE
geothermal,Geothermal,,renewable_energy,TOPIC
germany,Germany,,eu,GEOGRAPHY
ghana,Ghana,,africa,GEOGRAPHY
ghg,GHG,Greenhouse_gas,gas,TOPIC
gibraltar,Gibraltar,,uk,GEOGRAPHY
gini_index,GINI index,,economic,TOPIC
glacier,Glacier,,frozen_water,TOPIC
global,Global,,location,GEOGRAPHY
governance,Governance,government,society,TOPIC
greece,Greece,,eu,GEOGRAPHY
greenland,Greenland,,denmark,GEOGRAPHY
greenspace,Greenspace,,urban,TOPIC
grenada,Grenada,,north_america,GEOGRAPHY
groundwater,Groundwater,,water,TOPIC
guam,Guam,,oceania,GEOGRAPHY
guatemala,Guatemala,,north_america,GEOGRAPHY
guernsey,Guernsey,,crown_dependency,GEOGRAPHY
guinea,Guinea,,africa,GEOGRAPHY
guinea_bissau,Guinea-Bissau,,africa,GEOGRAPHY
guyana,Guyana,,south_america,GEOGRAPHY
habitat,Habitat,,ecosystem,TOPIC
habitat_loss,Habitat loss,,habitat,TOPIC
haiti,Haiti,,north_america,GEOGRAPHY
harmful_algal_blooms,Harmful algal blooms,,water_quality,TOPIC
hazard,Hazard,,general,TOPIC
health,Health,,society,TOPIC
heard_island_and_mcdoland_islands,Heard Island and McDonald Islands,,australia,GEOGRAPHY
heat_island,Heat Island,,temperature,TOPIC
heat_wave,Heat wave,,extreme_event,TOPIC
high_income,High Income,,society,TOPIC
historical,Historical,,time_period,TIME_PERIOD
honduras,Honduras,,north_america,GEOGRAPHY
hong_kong,Hong Kong,,asia,GEOGRAPHY
hospital,Hospital,,public_service,TOPIC
hourly,Hourly,,frequency,FREQUENCY
human_activity,Human activity,,society,TOPIC
human_footprint,Human footprint,,footprint,TOPIC
human_impact,Human impact,,society,TOPIC
human_rights,Human rights,,rights,TOPIC
hungary,Hungary,,eu,GEOGRAPHY
hunger,Hunger,,society,TOPIC
hunting,Hunting,,human_activity,TOPIC
hurricane,Hurricane,typhoon,natural_disaster,TOPIC
hydropower,Hydropower,,renewable_energy,TOPIC
ice,Ice,,frozen_water,TOPIC
iceland,Iceland,,europe,GEOGRAPHY
illegal_activity,Illegal activity,,human_activity,TOPIC
illiterate,Illiterate,,education,TOPIC
impact,Impact,,general,TOPIC
impervious_surface,Impervious surface,,land_cover,TOPIC
income,Income,,economic,TOPIC
india,India,,asia,GEOGRAPHY
Indigenous_rights,Indigenous Rights,,rights,TOPIC
indonesia,Indonesia,,asia,GEOGRAPHY
inequality,Inequality,,society,TOPIC
infant_mortality,Infant mortality,,mortality,TOPIC
infrastructure,Infrastructure,,general,TOPIC
installation,Installation,,infrastructure,TOPIC
intact_forest,Intact forest,,forest,TOPIC
internally_displaced,Internally displaced,,displaced_people,TOPIC
iran,Iran,,asia,GEOGRAPHY
iraq,Iraq,,asia,GEOGRAPHY
ireland,Ireland,,eu,GEOGRAPHY
irrigation,Irrigation,,food_and_agriculture,TOPIC
island,Island,,global,GEOGRAPHY
isle_of_man,Isle of Man,,crown_dependency,GEOGRAPHY
israel,Israel,,asia,GEOGRAPHY
italy,Italy,,eu,GEOGRAPHY
ivory_coast,Ivory Coast,,africa,GEOGRAPHY
jamaica,Jamaica,,north_america,GEOGRAPHY
japan,Japan,,asia,GEOGRAPHY
jersey,Jersey,,crown_dependency,GEOGRAPHY
jordan,Jordan,,asia,GEOGRAPHY
justice,Justice,,society,TOPIC
kazakhstan,Kazakhstan,,asia,GEOGRAPHY
kenya,Kenya,,africa,GEOGRAPHY
